_id,Codigo_Accidente,Longitud,Latitud,Direccion,AA_Acc,MM_Acc,DD_Mes_Acc,Dia_Semana_Acc,Hora_Acc,Min_Acc,Localidad,Clase_Acc,Elemento_Choque,Tipo_Objeto_Fijo,Gravedad_Indicador_Tradicional,Con_Bicicleta,Con_Carga,Con_Embriaguez,Con_Huecos,Con_Menores,Con_Moto,Con_Peaton,Con_Persona_Mayor,Con_Rutas,Con_Tpi,Con_Tpp,Con_Velocidad,Con_Sitp,Con_Troncal,Con_Alimentador,Con_Zonal,Con_Provisional,Con_Articulado,Con_Biarticulado,Con_Padron_Dual,Con_Servicio_Especial,Con_Taxi,TID_cercano,distancia_grados,distancia_metros_aprox,corredor_from,corredor_to,lat_corredor,lon_corredor,match_valido,vel_promedio_hora,vel_ponderada_hora,num_dispositivos,num_registros,tiene_velocidad
165149,10501500,-74.111911347,4.722784268,KR 111A-DG 86A 2,2019,Octubre,31,jueves,8,53,Engativá,Choque,Vehículo,,Solo Daños,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1000710.0,0.00800785689385389,888.8721152177817,KR86,CL72;CL75BIS,4.7274802000000005,-74.1054249,0.0,24.516661730363637,,0.0,110.0,0.0
165150,10501501,-74.09115245,4.56193062599999,CL 30B-KR 2 SE 02,2019,Octubre,31,jueves,8,14,San Cristóbal,Choque,Vehículo,,Solo Daños,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,44.0,0.0022053569251086064,244.7946186870553,CL26,AV.CARACAS;MODELIA,4.56249865,-74.0932834,1.0,38.62045758854838,,0.0,124.0,1.0
165151,10501502,-74.055111836,4.72139310199998,CL 134D-KR 49 2,2019,Octubre,31,jueves,10,15,Suba,Choque,Vehículo,,Solo Daños,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001953.0,0.002229294926434907,247.45173683427467,CL100,KR15;KR11,4.720507899999999,-74.05715785000001,1.0,15.811288671249999,,0.0,120.0,1.0
165152,10501503,-74.125167402,4.68049137899999,CL 25D-KR 95A 40,2019,Octubre,31,jueves,9,10,Fontibón,Choque,Vehículo,,Solo Daños,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.0,0.0031942580883033336,354.56264780167004,KR60;CL68,CL66C;KR58,4.68103185,-74.1220192,1.0,18.375713451382115,,0.0,123.0,1.0
165153,10501504,-74.115225294,4.59072296900001,CL 31-KR 29B S 2,2019,Octubre,31,jueves,15,0,Antonio Nariño,Choque,Vehículo,,Solo Daños,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.0,0.006142682671151021,681.8377764977633,CL11SUR,KR6_ESTE;AV.CARACAS,4.5966778,-74.1137178,0.0,14.513752489435484,,0.0,124.0,0.0
165154,10501505,-74.073990976,4.633729792,CL 45-KR 22 02,2019,Octubre,31,jueves,10,20,Teusaquillo,Choque,Vehículo,,Solo Daños,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,0.0016214705478855035,179.98323081529088,CL85,KR7;KR15,4.63445805,-74.07254225,1.0,8.211481329166666,,0.0,120.0,1.0
165155,10501506,-74.063535592,4.64948772299999,KR 13-CL 63 02,2019,Octubre,31,jueves,6,0,Chapinero,Choque,Vehículo,,Solo Daños,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1002025.0,0.004047629677666312,449.28689422096056,AUTONORTE,SANTA.FE;TOBERIN,4.64911745,-74.06756625,1.0,44.51511672568965,,0.0,116.0,1.0
165156,10501507,-74.112411142,4.667659474,CL 26-KR 72 02,2019,Octubre,31,jueves,11,0,Engativá,Choque,Vehículo,,Solo Daños,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,92.0,0.005294273769127211,587.6643883731205,"KR50,TV42,TV39",CL6;CL19,4.6708416,-74.1081799,0.0,15.623392792601626,,0.0,123.0,0.0
165157,10501508,-74.077410805,4.600830917,CL 12-KR 9 02,2019,Octubre,31,jueves,12,0,Candelaria,Choque,Vehículo,,Solo Daños,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000204.0,0.003200658373566657,355.27307946589895,KR7,CL39;CL45,4.60029015,-74.08056545,1.0,16.91028780782258,,0.0,124.0,1.0
165158,10501509,-74.161482701,4.61979139900001,KR 79-CL 42 S 58,2019,Octubre,31,jueves,5,50,Kennedy,Choque,Vehículo,,Solo Daños,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.0,0.009338531553437756,1036.577002431591,AV.AMERICAS;KR80,KR86;CL55SUR,4.6222152,-74.1524642,0.0,22.21395370860656,,0.0,122.0,0.0
165298,10503909,-74.166787475,4.62739814999998,DG 42A-KR 81I S 24,2019,Octubre,21,lunes,12,10,Kennedy,Caida de ocupante,,,Con Muertos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.0,0.009083475301516286,1008.2657584683078,AV.CL59SUR,KR81A;CL59SUR,4.6285372,-74.1577757,0.0,16.57291500875,,0.0,8.0,0.0
165349,10498730,-74.138346191,4.62300063200001,AV AVENIDA BOYACA-CL 1 02,2019,Octubre,2,miércoles,17,45,Kennedy,Choque,Vehículo,,Solo Daños,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000942.0,0.002464060200648831,273.51068227202023,TV39,CL6;CL13,4.62102935,-74.1368678,1.0,20.319258891525426,,0.0,118.0,1.0
165350,10498731,-74.045390598,4.72971904399998,KR 19-CL 147 02,2019,Octubre,3,jueves,0,20,Usaquén,Choque,Vehículo,,Solo Daños,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001008.0,0.006064849746554288,673.1983218675259,CL63,KR72;KR77A,4.72933775,-74.05144345,0.0,27.16019750117117,,0.0,111.0,0.0
165351,10498732,-74.081927425,4.585624494,KR 7-CL 1 S 02,2019,Octubre,2,miércoles,19,12,San Cristóbal,Choque,Vehículo,,Solo Daños,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,104.0,0.0003543207911818857,39.32960782118931,CL80,AV.CARACAS;KR119,4.5855397,-74.08227145000001,1.0,18.64468387575,,0.0,120.0,1.0
165353,10498734,-74.156584197,4.61986008299999,TR 78K-CL 41 S 35,2019,Octubre,2,miércoles,16,24,Kennedy,Choque,Vehículo,,Solo Daños,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.0,0.004745624444030129,526.7643132873443,AV.AMERICAS;KR80,KR86;CL55SUR,4.6222152,-74.1524642,1.0,13.503727674,,0.0,120.0,1.0
165354,10498735,-74.113829099,4.70168445399997,KR 96-CL 72 2,2019,Octubre,2,miércoles,15,0,Engativá,Choque,Vehículo,,Solo Daños,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1000723.0,0.005078711196823419,563.7369428473995,KR86,CL10;AV.AMERICAS,4.6984233,-74.11772245,0.0,10.41268415462185,,0.0,119.0,0.0
165355,10498736,-74.085202273,4.64965846199999,KR 50-CL 58A 02,2019,Octubre,2,miércoles,17,20,Teusaquillo,Choque,Vehículo,,Solo Daños,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1001730.0,0.0019603124930975264,217.59468673382543,KR50,CL2C;CL5A,4.6505877,-74.08692835,1.0,24.664390471130435,,0.0,115.0,1.0
165356,10498737,-74.103172955,4.508244623,DG 84-KR 5B SE 60,2019,Octubre,1,martes,9,0,Usme,Choque,Objeto Fijo,Semaforo,Solo Daños,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1001959.0,0.027167055884465833,3015.5432031757073,"CL19,KR3",KR5;CL22,4.5343054,-74.1108466,0.0,13.472533129596775,,0.0,124.0,0.0
165357,10498738,-74.11749079,4.62820717900001,AV AVENIDA DE LAS AMERICAS-KR 63 2,2019,Octubre,2,miércoles,6,50,Puente Aranda,Choque,Vehículo,,Solo Daños,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001206.0,0.0008843489773518425,98.16273648605453,KR68,NQS;CL40SUR,4.627447549999999,-74.11794359999999,1.0,24.884874474310347,,0.0,116.0,1.0
165358,10498739,-74.060539534,4.658317055,CL 72-KR 13 02,2019,Octubre,2,miércoles,7,50,Chapinero,Choque,Vehículo,,Solo Daños,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1000707.0,0.002914124773869278,323.46784989948986,CL13,KR47;KR39,4.6608924,-74.06190325,1.0,23.017047723966943,,0.0,121.0,1.0
165359,10498740,-74.061358245,4.71641983000001,CL 129-KR 53D 2,2019,Octubre,2,miércoles,15,20,Suba,Choque,Vehículo,,Solo Daños,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1000246.0,0.0012479486068925109,138.52229536506871,CL45,KR19;AV.CARACAS,4.71519355,-74.0611267,1.0,14.898675228064516,,0.0,124.0,1.0
165360,10498741,-74.136946552,4.63674633199997,AV AVENIDA BOYACA-CL 8 2,2019,Octubre,2,miércoles,19,20,Kennedy,Choque,Vehículo,,Solo Daños,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.0,0.004888266127059194,542.5975401035706,"KR78K,CL41SUR",CL26SUR;AV.P.MAYO,4.6381608,-74.14162569999999,1.0,13.447931743833333,,0.0,120.0,1.0
