_id,Codigo_Accidente,Longitud,Latitud,Direccion,AA_Acc,MM_Acc,DD_Mes_Acc,Dia_Semana_Acc,Hora_Acc,Min_Acc,Localidad,Clase_Acc,Elemento_Choque,Tipo_Objeto_Fijo,Gravedad_Indicador_Tradicional,Con_Bicicleta,Con_Carga,Con_Embriaguez,Con_Huecos,Con_Menores,Con_Moto,Con_Peaton,Con_Persona_Mayor,Con_Rutas,Con_Tpi,Con_Tpp,Con_Velocidad,Con_Sitp,Con_Troncal,Con_Alimentador,Con_Zonal,Con_Provisional,Con_Articulado,Con_Biarticulado,Con_Padron_Dual,Con_Servicio_Especial,Con_Taxi
246737,10582714,-74.159,4.627,KR 80  - CL 38 C  S 02,2022,Octubre,15,sábado,15,20,Kennedy,Choque,Vehículo,N/A,Solo Daños,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248000,10582965,-74.12,4.707,CL 72  - KR 105   02,2022,Octubre,21,viernes,18,6,Engativá,Choque,Vehículo,N/A,Con Heridos,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248001,10582972,-74.064424111,4.64978001200001,AV AVENIDA CARACAS - CL 63   02,2022,Octubre,20,jueves,3,10,Chapinero,Choque,Vehículo,N/A,Solo Daños,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248002,10582975,-74.079,4.632,KR 30  - CL 41   02,2022,Octubre,21,viernes,12,0,Teusaquillo,Atropello,N/A,N/A,Con Heridos,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248003,10582976,-74.053,4.648,KR 1  - CL 68   02,2022,Octubre,20,jueves,12,20,Chapinero,Volcamiento,N/A,N/A,Con Heridos,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
248004,10582984,-74.068,4.675,AV AVENIDA TRANSVERSAL DE SUBA - KR 81   02,2022,Octubre,20,jueves,17,0,San Cristóbal,Choque,Vehículo,N/A,Con Heridos,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
248005,10582986,-74.146507845,4.595874047,CL 45  S- KR 72 N  02,2022,Octubre,20,jueves,19,30,Kennedy,Atropello,N/A,N/A,Con Heridos,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248006,10583009,-74.118,4.689,CL 63  - KR 93   02,2022,Octubre,21,viernes,21,0,Engativá,Choque,Vehículo,N/A,Solo Daños,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248007,10583010,-74.14,4.55,KR 17 G  - CL 67 BIS S 02,2022,Octubre,23,domingo,19,30,Ciudad Bolívar,Atropello,N/A,N/A,Con Heridos,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248008,10583013,-74.119,4.69,CL 63  - KR 93   02,2022,Octubre,22,sábado,10,30,Engativá,Choque,Vehículo,N/A,Con Heridos,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248009,10583015,-74.12,4.68,CL 26 A  - KR 87   02,2022,Octubre,22,sábado,11,50,Fontibón,Choque,Vehículo,N/A,Con Heridos,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248010,10583021,-74.13,4.706,KR 111  - CL 69 B  02,2022,Octubre,22,sábado,22,30,Engativá,Choque,Vehículo,N/A,Con Heridos,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
248011,10583022,-74.135,4.558,KR 16 A  - CL 60 G  S 02,2022,Octubre,21,viernes,21,0,Ciudad Bolívar,Choque,Vehículo,N/A,Con Heridos,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
248012,10583029,-74.151,4.694,CL 24  - KR 123   02,2022,Octubre,23,domingo,10,45,Fontibón,Choque,Vehículo,N/A,Con Heridos,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
248013,10583031,-74.138,4.631,AV AVENIDA DE LAS AMERICAS - AV AVENIDA BOYACA  02,2022,Octubre,22,sábado,22,6,Kennedy,Choque,Vehículo,N/A,Solo Daños,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248014,10583032,-74.046,4.753,KR 45  - CL 172   02,2022,Octubre,21,viernes,18,30,Usaquén,Caida de ocupante,N/A,N/A,Con Heridos,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
248015,10583033,-74.116,4.686,KR 90  - CL 63   02,2022,Octubre,22,sábado,22,40,Engativá,Choque,Vehículo,N/A,Solo Daños,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248016,10583035,-74.090784775,4.74233831999999,CL 145  - KR 99 A  02,2022,Octubre,22,sábado,19,20,Suba,Atropello,N/A,N/A,Con Heridos,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
248017,10583040,-74.104409104,4.58378033600002,CL 22  S- KR 20   02,2022,Octubre,23,domingo,4,30,Antonio Nariño,Choque,Vehículo,N/A,Con Heridos,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
248018,10583045,-74.156,4.621,KR 78 K  - CL 40 B  S 02,2022,Octubre,23,domingo,2,0,Kennedy,Choque,Vehículo,N/A,Solo Daños,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248019,10583051,-74.07,4.671,KR 30  - CL 77   02,2022,Octubre,22,sábado,6,34,Barrios Unidos,Choque,Vehículo,N/A,Con Heridos,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
248020,10583053,-74.118438211,4.59896085299999,CL 28 A  S- KR 39   02,2022,Octubre,23,domingo,17,0,Puente Aranda,Choque,Objeto Fijo,Arbol,Con Heridos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248319,10583054,-74.114,4.595,CL 26  S- KR 34 D  02,2022,Octubre,22,sábado,22,13,Puente Aranda,Choque,Vehículo,N/A,Solo Daños,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248320,10583057,-74.097,4.692,KR 76  - CL 74   02,2022,Octubre,22,sábado,21,30,Engativá,Choque,Vehículo,N/A,Con Heridos,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248321,10583061,-74.099857307,4.69120868700003,CL 72  - KR 77 A  02,2022,Octubre,24,lunes,0,30,Engativá,Choque,Vehículo,N/A,Solo Daños,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248322,10583062,-74.145,4.625,KR 75  - CL 1   02,2022,Octubre,21,viernes,6,42,Kennedy,Choque,Vehículo,N/A,Con Muertos,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248323,10583072,-74.143,4.582,AV AVENIDA BOYACA - CL 56 A  S 02,2022,Octubre,24,lunes,7,40,Tunjuelito,Choque,Vehículo,N/A,Con Heridos,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248324,10583073,-74.091022536,4.60602182700001,KR 24  - CL 9   02,2022,Octubre,23,domingo,15,7,Los Mártires,Atropello,N/A,N/A,Con Heridos,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248325,10583076,-74.111578989,4.61831657699997,KR 43 C  - CL 4 F  02,2022,Octubre,23,domingo,14,15,Puente Aranda,Choque,Vehículo,N/A,Con Heridos,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248326,10583077,-74.16,4.585,CL 68  S- TV 70 A  02,2022,Octubre,24,lunes,7,0,Ciudad Bolívar,Choque,Vehículo,N/A,Con Heridos,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
