Gravedad_Indicador_Tradicional,vel_promedio,vel_mediana,num_accidentes
Con Heridos,23.3302178342942,21.295412237868852,539
Con Muertos,24.66180790906332,21.343485788229163,31
Solo Daños,23.26943532793455,21.28488889125,1184
