_id,Codigo_Accidente,Longitud,Latitud,Direccion,AA_Acc,MM_Acc,DD_Mes_Acc,Dia_Semana_Acc,Hora_Acc,Min_Acc,Localidad,Clase_Acc,Elemento_Choque,Tipo_Objeto_Fijo,Gravedad_Indicador_Tradicional,Con_Bicicleta,Con_Carga,Con_Embriaguez,Con_Huecos,Con_Menores,Con_Moto,Con_Peaton,Con_Persona_Mayor,Con_Rutas,Con_Tpi,Con_Tpp,Con_Velocidad,Con_Sitp,Con_Troncal,Con_Alimentador,Con_Zonal,Con_Provisional,Con_Articulado,Con_Biarticulado,Con_Padron_Dual,Con_Servicio_Especial,Con_Taxi,TID_cercano,distancia_grados,distancia_metros_aprox,corredor_from,corredor_to,lat_corredor,lon_corredor,match_valido,vel_promedio_hora,vel_ponderada_hora,num_dispositivos,num_registros,tiene_velocidad
169036,10501357,-74.130354805,4.629431668,AV AVENIDA DE LAS AMERICAS-KR 69F 2,2019,Octubre,29,martes,16,0,Kennedy,Choque,Vehículo,,Solo Daños,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.0,0.0014165959621371563,157.24215179722435,CL53,KR68;KR7,4.62874205,-74.1291174,1.0,14.094349765166667,,0.0,120.0,1.0
169037,10501358,-74.097899703,4.60702884900002,AK 30-CL 06 2,2019,Octubre,29,martes,16,40,Puente Aranda,Choque,Vehículo,,Solo Daños,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001001.0,0.0010258171696612987,113.86570583240416,CL24,KR40;AV.AMERICAS,4.60802425,-74.09814765,1.0,12.724495134033614,,0.0,119.0,1.0
169110,10502518,-74.126219706,4.64923001800003,AV AVENIDA BOYACA-CL 17 2,2019,Octubre,5,sábado,23,24,Fontibón,Atropello,,,Con Muertos,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000775.0,0.0008558336309192347,94.99753303203505,CL17,KR128;KR123,4.65006275,-74.1260222,1.0,37.13480447663866,,0.0,119.0,1.0
169118,10502899,-74.070226125,4.58543354900002,CL 3-KR 7 E 16,2019,Octubre,8,martes,10,0,Santa Fe,Choque,Objeto Fijo,Vehiculo,Con Muertos,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000028.0,0.0020595586754922966,228.61101297964493,KR11,CL94;CL92,4.58677215,-74.0686609,1.0,12.997066013445378,,0.0,119.0,1.0
169236,10498583,-74.136630739,4.58548145399999,CL 51-KR 34 S 59,2019,Octubre,1,martes,10,30,Tunjuelito,Caida de ocupante,,,Con Heridos,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1002273.0,0.00712197456510411,790.5391767265562,AV.VILLAVICENCIO,AV.P.MAYO;CL57BSUR,4.5920865,-74.13929455,0.0,23.381959125,,0.0,8.0,0.0
169237,10498584,-74.108983012,4.70267413300002,CL 75-KR 92A 20,2019,Octubre,1,martes,10,30,Engativá,Atropello,,,Con Heridos,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000759.0,0.006533186505699428,725.1837021326365,KR80,CL26SUR;CL38CSUR,4.69774235,-74.10469815,0.0,20.426535329166665,,0.0,120.0,0.0
169240,10498587,-74.062586937,4.64089902199999,KR 7-CL 54A 55,2019,Octubre,1,martes,11,10,Chapinero,Atropello,,,Con Heridos,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1000307.0,0.0010343251110083362,114.81008732192532,KR10,CL24;CL19,4.6413462,-74.0635196,1.0,11.369418677118643,,0.0,118.0,1.0
169243,10498590,-74.121078136,4.63190471799999,AK 68-CL 9G 02,2019,Octubre,1,martes,5,20,Puente Aranda,Volcamiento,,,Con Heridos,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001258.0,0.002597792253750414,288.354940166296,CL63,TV85;KR77A,4.6325927,-74.11857309999999,1.0,23.282516297868852,,0.0,122.0,1.0
169244,10498591,-74.081251008,4.60330307499999,CL 12-KR 15 2,2019,Octubre,1,martes,9,30,Los Mártires,Choque,Vehículo,,Solo Daños,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001262.0,0.0012461862756035023,138.32667659198876,NQS,CL1F;AV.P.MAYO,4.6030451,-74.0824702,1.0,19.629791241818182,,0.0,121.0,1.0
169246,10498593,-74.071815792,4.65096076999998,CL 63-KR 23 02,2019,Octubre,1,martes,18,30,Barrios Unidos,Choque,Vehículo,,Solo Daños,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,0.0009328054125770188,103.54140079604907,CL92,KR19B;KR7,4.65012885,-74.07139384999999,1.0,18.240174540689654,,0.0,116.0,1.0
169247,10498594,-74.075934317,4.693800345,KR 70-CL 99 2,2019,Octubre,1,martes,5,45,Suba,Choque,Vehículo,,Solo Daños,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1000996.0,0.0005945612514425717,65.99629891012546,CL80,KR102;KR96,4.69436975,-74.0757632,1.0,42.88476090463636,,0.0,110.0,1.0
169249,10498596,-74.13764271,4.55451289899997,AV AVENIDA BOYACA-DG 64ABIS S 02,2019,Octubre,1,martes,11,40,Ciudad Bolívar,Choque,Vehículo,,Solo Daños,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,56.0,0.020573754682046586,2283.686769707171,CL6,AV.CARACAS;KR42,4.574981,-74.13556034999999,0.0,17.94925906909836,,0.0,122.0,0.0
169250,10498597,-74.083411515,4.68027284599998,AK 68-CL 75 2,2019,Octubre,1,martes,8,0,Barrios Unidos,Choque,Vehículo,,Solo Daños,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000654.0,0.0027888896048694333,309.5667461405071,AV.CIRCUNVALAR,CL83;KR7,4.67771235,-74.08451685,1.0,25.33049443067227,,0.0,119.0,1.0
169252,10498599,-74.052722229,4.711538534,KR 45-CL 127D 2,2019,Octubre,1,martes,9,37,Usaquén,Choque,Vehículo,,Solo Daños,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,0.0023256407579852097,258.14612413635825,CL85,KR15;KR7,4.7093504,-74.0519344,1.0,8.849482506115702,,0.0,121.0,1.0
