TID,hora,vel_promedio_hora,vel_ponderada_hora,num_dispositivos,num_registros,lat,lon,name_from,name_to,distance_m,confianza_geo
1000003,0,41.028844085806455,40.07168786032258,1119,124,4.6586908000000005,-74.10742985,KR7,CL134;CL127,995,alta
1000003,1,41.602795698790324,38.46337936330645,870,124,4.6586908000000005,-74.10742985,KR7,CL134;CL127,995,alta
1000003,2,42.43823924701613,37.792226015080644,701,124,4.6586908000000005,-74.10742985,KR7,CL134;CL127,995,alta
1000003,3,43.109663978709676,40.610729740564516,662,124,4.6586908000000005,-74.10742985,KR7,CL134;CL127,995,alta
1000003,4,42.81396505395161,40.31228580790322,702,124,4.6586908000000005,-74.10742985,KR7,CL134;CL127,995,alta
1000003,5,38.128568548306454,37.87797662637097,3046,124,4.6586908000000005,-74.10742985,KR7,CL134;CL127,995,alta
1000003,6,26.877829300725807,27.148175133387095,6176,124,4.6586908000000005,-74.10742985,KR7,CL134;CL127,995,alta
1000003,7,23.732177419596773,23.595265052419354,6734,124,4.6586908000000005,-74.10742985,KR7,CL134;CL127,995,alta
1000003,8,25.22870523380165,25.52455077603306,6118,121,4.6586908000000005,-74.10742985,KR7,CL134;CL127,995,alta
1000003,9,29.351361111166668,29.911314537750002,5400,120,4.6586908000000005,-74.10742985,KR7,CL134;CL127,995,alta
1000003,10,29.600458332916666,29.822804267499997,4831,120,4.6586908000000005,-74.10742985,KR7,CL134;CL127,995,alta
1000003,11,30.718653846239317,30.945040686324784,4975,117,4.6586908000000005,-74.10742985,KR7,CL134;CL127,995,alta
1000003,12,30.208629943135595,30.424830919661016,4767,118,4.6586908000000005,-74.10742985,KR7,CL134;CL127,995,alta
1000003,13,29.435319444666668,29.857467702416667,5076,120,4.6586908000000005,-74.10742985,KR7,CL134;CL127,995,alta
1000003,14,30.304249999833335,30.874761751916665,4964,120,4.6586908000000005,-74.10742985,KR7,CL134;CL127,995,alta
1000003,15,28.94502688169355,29.125332827096777,4628,124,4.6586908000000005,-74.10742985,KR7,CL134;CL127,995,alta
