_id,Codigo_Accidente,Longitud,Latitud,Direccion,AA_Acc,MM_Acc,DD_Mes_Acc,Dia_Semana_Acc,Hora_Acc,Min_Acc,Localidad,Clase_Acc,Elemento_Choque,Tipo_Objeto_Fijo,Gravedad_Indicador_Tradicional,Con_Bicicleta,Con_Carga,Con_Embriaguez,Con_Huecos,Con_Menores,Con_Moto,Con_Peaton,Con_Persona_Mayor,Con_Rutas,Con_Tpi,Con_Tpp,Con_Velocidad,Con_Sitp,Con_Troncal,Con_Alimentador,Con_Zonal,Con_Provisional,Con_Articulado,Con_Biarticulado,Con_Padron_Dual,Con_Servicio_Especial,Con_Taxi,TID_cercano,distancia_grados,distancia_metros_aprox,corredor_from,corredor_to,lat_corredor,lon_corredor,match_valido,vel_promedio_hora,vel_ponderada_hora,num_dispositivos,num_registros,tiene_velocidad
194980,10582115,-74.145,4.593,AV AVENIDA BOYACA - CL 49  S 02,2022,Octubre,1,sábado,4,30,Tunjuelito,Choque,Objeto Fijo,Vehiculo Estacionado,Con Heridos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000297.0,0.0014400551395652775,159.8461204917458,CL1,KR21;AV.CARACAS,4.59354105,-74.14366545,1.0,34.38395161274193,31.752151881693546,413.0,124.0,1.0
194981,10582365,-74.121,4.581,KR 24  - CL 40  S 02,2022,Octubre,6,jueves,15,50,Rafael Uribe Uribe,Choque,Vehículo,,Con Heridos,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001976.0,0.0020466866357604853,227.18221656941387,NQS,KR24;CL100,4.57921725,-74.11999465,1.0,38.26473611141667,38.28152742541667,598.0,120.0,1.0
194982,10582366,-74.16,4.58,KR 51  - CL 68 F  S 02,2022,Octubre,7,viernes,9,14,Ciudad Bolívar,Atropello,,,Con Muertos,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001946.0,0.016705260126382016,1854.2838740284037,"AV.P.MAYO,CL26SUR",KR72;KR78K,4.5960945,-74.1644758,0.0,15.504833333333332,15.2726084325,482.0,120.0,0.0
194983,10582372,-74.097,4.7,CL 80  - KR 81   02,2022,Octubre,7,viernes,8,30,Engativá,Atropello,,,Con Heridos,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000963.0,0.002751601324690637,305.42774704066073,CL72,KR64;KR70,4.7019356,-74.0989557,1.0,22.91833333338843,22.147540338429753,422.0,121.0,1.0
194984,10582389,-74.035,4.82,AU NORTE - CL 245   02,2022,Octubre,7,viernes,6,40,Usaquén,Choque,Vehículo,,Con Heridos,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001829.0,0.05863533568408591,6508.522260933536,KR19,CL152;CL147,4.76739575,-74.06090165,0.0,16.57196908556452,16.29610069,786.0,124.0,0.0
194985,10582396,-74.087,4.525,KR 15  E- CL 64 A  S 02,2022,Octubre,8,sábado,14,0,Usme,Choque,Vehículo,,Con Heridos,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1001959.0,0.025597867112709574,2841.3632495107627,"CL19,KR3",KR5;CL22,4.5343054,-74.1108466,0.0,10.829791666583333,10.617470256083333,546.0,120.0,0.0
194986,10582399,-74.18,4.597,AU SUR - CL 76 A  S 02,2022,Octubre,8,sábado,13,30,Bosa,Otro,,,Con Heridos,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1002290.0,0.005576975576421369,619.044288982772,AV.CL59SUR,CL59SUR;KR78C,4.6025243,-74.1792353,0.0,32.163736110583336,31.624106844999996,485.0,120.0,0.0
194987,10582403,-74.095,4.605,CL 6  - KR 27   02,2022,Octubre,8,sábado,22,40,Los Mártires,Choque,Vehículo,,Con Heridos,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1000058.0,0.0021978248451593307,243.9585578126857,KR11,CL100;CL106,4.6028211,-74.0952878,1.0,27.776760752580646,25.20812231145161,397.0,124.0,1.0
194988,10582406,-74.13,4.666,KR 86  - CL 22   02,2022,Octubre,8,sábado,6,15,Fontibón,Atropello,,,Con Heridos,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000237.0,0.004109546994498201,456.15971638930034,CL134,KR53;KR58,4.6700811,-74.1295173,1.0,37.57108871016129,37.586861812258064,709.0,124.0,1.0
194989,10582415,-74.148,4.572,TV 28  - CL 59 B  S 02,2022,Octubre,10,lunes,5,50,Ciudad Bolívar,Choque,Vehículo,,Con Muertos,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1000297.0,0.021972827738025714,2438.9838789208543,CL1,KR21;AV.CARACAS,4.59354105,-74.14366545,0.0,29.726962365483868,29.11642582717742,579.0,124.0,0.0
194990,10582424,-74.155,4.575,CL 68  S- KR 46   02,2022,Octubre,7,viernes,19,40,Ciudad Bolívar,Choque,Vehículo,,Con Heridos,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1000297.0,0.02173114260238068,2412.156828864255,CL1,KR21;AV.CARACAS,4.59354105,-74.14366545,0.0,23.97329301096774,23.5865902475,599.0,124.0,0.0
194991,10582428,-74.148,4.568,CL 64 C  S- KR 23 C  02,2022,Octubre,7,viernes,9,30,Ciudad Bolívar,Choque,Vehículo,,Con Heridos,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000297.0,0.02590624555594602,2875.593256710008,CL1,KR21;AV.CARACAS,4.59354105,-74.14366545,0.0,20.999902777583333,20.887244931833333,700.0,120.0,0.0
194992,10582429,-74.102,4.67,KR 70  - CL 55   02,2022,Octubre,8,sábado,9,30,Engativá,Choque,Vehículo,,Con Heridos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000032.0,0.0004386150305236577,48.686268388126,CL72,KR20;KR11,4.6703601500000005,-74.10174965,1.0,6.759027778,6.5650098217499995,399.0,120.0,1.0
194994,10582509,-74.147,4.57,KR 23 C  - CL 60 A  S 02,2022,Octubre,8,sábado,21,55,Ciudad Bolívar,Choque,Vehículo,,Con Heridos,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1000297.0,0.023776043800536117,2639.1408618595087,CL1,KR21;AV.CARACAS,4.59354105,-74.14366545,0.0,26.803360214919355,26.567413210241938,517.0,124.0,0.0
