corredor_principal,vel_2019,vel_2022,delta_vel,delta_pct
Av. Caracas,30.87371167125735,25.21999035944108,-5.65372131181627,-18.3
Av. Carrera 10,31.552007026378295,26.811654429382827,-4.740352596995468,-15.0
Av. Américas,17.464316302019363,13.1855822064228,-4.278734095596562,-24.5
Av. Ciudad de Cali,34.78136699686392,31.218385460153417,-3.562981536710506,-10.2
Av. Carrera 68,26.003896215066977,23.779409438523228,-2.224486776543749,-8.6
Av. Boyacá,29.24811478041356,29.804644735896446,0.5565299554828869,1.9
Av. Bosa,27.22105371515625,29.321665060348025,2.1006113451917763,7.7
Autopista Norte,27.70898708232896,35.372677510677505,7.663690428348545,27.7
Av. NQS,28.766555698063385,39.8012833720496,11.034727673986218,38.4
