TID,NAME_FROM,NAME_TO,DISTANCE_m,VEL_MEDIA,VEL_PICO,N_REGISTROS,lat_from,lon_from,lat_to,lon_to,lat,lon,confianza,query_from,query_to
1000718,KR86,CL22;CL24 ,857.0,29.57,23.67,2944,4.7407833,-74.0812616,4.6114117,-74.0762005,4.6760975,-74.07873105,alta,Carrera 86,Calle 22
1000719,KR86,CL22;CL19A ,449.0,26.47,22.8,2944,4.7407833,-74.0812616,4.6114117,-74.0762005,4.6760975,-74.07873105,alta,Carrera 86,Calle 22
1000720,KR86,CL13C;CL19A ,1111.0,28.46,22.83,2945,4.7407833,-74.0812616,4.680559,-74.1718877,4.71067115,-74.12657465000001,alta,Carrera 86,Calle 13C
1000721,KR86,CL13C;CL10 ,1521.0,42.48,32.77,2944,4.7407833,-74.0812616,4.680559,-74.1718877,4.71067115,-74.12657465000001,alta,Carrera 86,Calle 13C
1000722,KR86,CL10;CL13C ,1522.0,34.04,24.47,2944,4.7407833,-74.0812616,4.6560633,-74.1541833,4.6984233,-74.11772245,alta,Carrera 86,Calle 10
1000723,KR86,CL10;AV.AMERICAS ,798.0,12.56,8.61,2944,4.7407833,-74.0812616,4.6560633,-74.1541833,4.6984233,-74.11772245,alta,Carrera 86,Calle 10
1000724,KR86,CL40BSUR;AV.AMERICAS ,1498.0,15.79,12.08,2943,4.7407833,-74.0812616,,,4.7407833,-74.0812616,media,Carrera 86,Calle 40BSUR
1000725,KR86,CL40BSUR;CL43SUR ,632.0,21.62,16.69,1175,4.7407833,-74.0812616,,,4.7407833,-74.0812616,media,Carrera 86,Calle 40BSUR
1000726,KR86,CL43SUR;CL40BSUR ,646.0,18.09,14.8,1175,4.7407833,-74.0812616,,,4.7407833,-74.0812616,media,Carrera 86,Calle 43SUR
1000727,KR86,CL43SUR;DG49SUR ,709.0,18.83,15.38,140,4.7407833,-74.0812616,,,4.7407833,-74.0812616,media,Carrera 86,Calle 43SUR
1000728,KR86,DG49SUR;CL43SUR ,742.0,18.4,13.16,142,4.7407833,-74.0812616,,,4.7407833,-74.0812616,media,Carrera 86,Dg49Sur
1000729,KR86,DG49SUR;CL57BSUR ,1032.0,18.32,15.08,140,4.7407833,-74.0812616,,,4.7407833,-74.0812616,media,Carrera 86,Dg49Sur
1000730,KR86,CL57BSUR;DG49SUR ,1029.0,18.84,13.76,141,4.7407833,-74.0812616,,,4.7407833,-74.0812616,media,Carrera 86,Calle 57BSUR
1000731,TV86,CL90;KR91 ,846.0,30.28,22.52,2944,4.7150373,-74.0928802,4.7160785,-74.1011834,4.7155579,-74.0970318,alta,Transversal 86,Calle 90
1000732,KR86,CL90;CL85 ,520.0,22.3,19.26,2945,4.7407833,-74.0812616,4.7160785,-74.1011834,4.7284309,-74.0912225,alta,Carrera 86,Calle 90
1000733,KR86,CL85;CL90 ,524.0,22.26,17.0,2945,4.7407833,-74.0812616,4.7093532,-74.101762,4.72506825,-74.0915118,alta,Carrera 86,Calle 85
1000734,KR86,CL85;CL75BIS ,977.0,27.21,20.87,2942,4.7407833,-74.0812616,4.7093532,-74.101762,4.72506825,-74.0915118,alta,Carrera 86,Calle 85
1000735,CL100,KR49; AV.SUBA ,492.0,21.66,18.35,2944,4.6975833,-74.077589,4.7540993,-74.048751,4.7258413,-74.06317,alta,Calle 100,Carrera 49
1000736,CL100,AV.SUBA;KR49 ,471.0,21.97,17.93,2944,4.6975833,-74.077589,4.7492477,-74.1011999,4.7234155,-74.08939445,alta,Calle 100,Avenida Suba
1000737,CL116,KR19;KR53 ,1353.0,22.42,20.88,2943,4.6925779,-74.0288797,4.7857325,-74.0361876,4.7391552,-74.03253365,alta,Calle 116,Carrera 19
1000738,CL116,KR53;KR19 ,1358.0,24.99,22.4,2943,4.6925779,-74.0288797,4.5964833,-74.1360011,4.6445306,-74.0824404,alta,Calle 116,Carrera 53
1000739,AV.SUBA,CL100;CL113 ,774.0,24.06,19.12,2944,4.7492477,-74.1011999,4.6975833,-74.077589,4.7234155,-74.08939445,alta,Avenida Suba,Calle 100
1000740,AV.SUBA,CL113;CL100 ,745.0,25.6,20.33,2943,4.7492477,-74.1011999,4.6970591,-74.0663421,4.723153399999999,-74.083771,alta,Avenida Suba,Calle 113
1000741,AV.SUBA,CL113;CL116 ,514.0,28.34,23.99,2943,4.7492477,-74.1011999,4.6970591,-74.0663421,4.723153399999999,-74.083771,alta,Avenida Suba,Calle 113
1000742,AV.SUBA,CL116;CL113 ,527.0,32.28,29.14,2943,4.7492477,-74.1011999,4.6925779,-74.0288797,4.7209128,-74.0650398,alta,Avenida Suba,Calle 116
1000743,CL6,KR27;KR32 ,663.0,27.95,25.89,2942,4.6413258,-74.1567299,4.6523072,-74.0743093,4.6468165,-74.1155196,alta,Calle 6,Carrera 27
1000744,CL6,KR32;KR27 ,671.0,26.73,23.09,2942,4.6413258,-74.1567299,4.6274204,-74.0837882,4.6343731,-74.12025905,alta,Calle 6,Carrera 32
1000745,CL6,KR32;KR36 ,472.0,27.56,25.34,2943,4.6413258,-74.1567299,4.6274204,-74.0837882,4.6343731,-74.12025905,alta,Calle 6,Carrera 32
1000746,CL6,KR36;KR32 ,458.0,27.2,23.63,2941,4.6413258,-74.1567299,4.5701198,-74.1505816,4.6057228,-74.15365575,alta,Calle 6,Carrera 36
1000748,KR68,CL3;CL13 ,1531.0,29.3,21.16,1411,4.7582698,-74.0632849,4.6267023,-74.1449167,4.692486049999999,-74.1041008,alta,Carrera 68,Calle 3
1000753,AV.P.MAYO,KR27;NQS ,856.0,22.09,18.31,2944,4.6016787,-74.1200151,4.6523072,-74.0743093,4.62699295,-74.0971622,alta,Avenida Primero de Mayo,Carrera 27
1000754,AV.P.MAYO,NQS;KR27 ,870.0,20.44,16.62,2943,4.6016787,-74.1200151,4.6181546,-74.0857383,4.609916650000001,-74.1028767,alta,Avenida Primero de Mayo,Nqs
1000755,AV.P.MAYO,NQS;KR52A ,1825.0,28.82,24.44,2944,4.6016787,-74.1200151,4.6181546,-74.0857383,4.609916650000001,-74.1028767,alta,Avenida Primero de Mayo,Nqs
