Hora_Acc,num_accidentes
0,31
1,25
2,19
3,26
4,17
5,44
6,81
7,71
8,73
9,60
10,57
11,67
12,69
13,74
14,67
15,55
16,66
17,70
18,80
19,79
20,68
21,58
22,72
23,42
