Gravedad_Indicador_Tradicional,vel_promedio,vel_mediana,num_accidentes
Con Heridos,24.810062915795832,22.911290322420022,480
Con Muertos,23.56097800743777,22.603976211936164,26
Solo Daños,25.32769034212766,23.524005376774195,155
